Source,Target,Weight,Type
user_242748,user_166176,1,Undirected
user_233636,user_106676,1,Undirected
user_233636,user_487277,1,Undirected
user_233636,user_25636,1,Undirected
user_233636,user_357701,1,Undirected
user_106676,user_487277,1,Undirected
user_106676,user_25636,1,Undirected
user_106676,user_357701,1,Undirected
user_487277,user_25636,1,Undirected
user_487277,user_357701,1,Undirected
user_161378,user_39320,1,Undirected
user_230005,user_401416,1,Undirected
user_230005,user_114990,1,Undirected
user_230005,user_460202,1,Undirected
user_403479,user_268939,1,Undirected
user_401416,user_114990,1,Undirected
user_401416,user_460202,1,Undirected
user_485600,user_328794,1,Undirected
user_485600,user_367886,1,Undirected
user_485600,user_228678,1,Undirected
user_107013,user_120354,1,Undirected
user_451073,user_184946,1,Undirected
user_451073,user_112223,1,Undirected
user_180920,user_168543,1,Undirected
user_485648,user_46339,1,Undirected
user_415030,user_31846,1,Undirected
user_415030,user_328135,1,Undirected
user_236542,user_46221,1,Undirected
user_236542,user_405033,1,Undirected
user_236542,user_178963,1,Undirected
user_134339,user_66656,1,Undirected
user_134339,user_333117,1,Undirected
user_134339,user_213052,1,Undirected
user_134339,user_241196,1,Undirected
user_245031,user_57818,1,Undirected
user_245031,user_5184,1,Undirected
user_245031,user_167761,1,Undirected
user_245031,user_84513,1,Undirected
user_245031,user_142198,1,Undirected
user_245031,user_70059,1,Undirected
user_245031,user_61359,1,Undirected
user_414286,user_224371,1,Undirected
user_414286,user_312956,1,Undirected
user_457365,user_133590,1,Undirected
user_66656,user_333117,1,Undirected
user_66656,user_213052,1,Undirected
user_66656,user_241196,1,Undirected
user_224371,user_312956,1,Undirected
user_224371,user_2526,1,Undirected
user_224371,user_483327,1,Undirected
user_335637,user_161445,1,Undirected
user_335637,user_127878,1,Undirected
user_335637,user_45576,1,Undirected
user_335637,user_445501,1,Undirected
user_335637,user_430495,1,Undirected
user_335637,user_232703,1,Undirected
user_335637,user_443504,1,Undirected
user_335637,user_70938,1,Undirected
user_335637,user_5309,1,Undirected
user_335637,user_92431,1,Undirected
user_335637,user_204189,1,Undirected
user_335637,user_143663,1,Undirected
user_335637,user_83145,1,Undirected
user_335637,user_345938,1,Undirected
user_335637,user_286482,1,Undirected
user_335637,user_43538,1,Undirected
user_335637,user_347010,1,Undirected
user_333117,user_213052,1,Undirected
user_333117,user_241196,1,Undirected
user_31846,user_328135,1,Undirected
user_450498,user_86578,1,Undirected
user_176477,user_311743,1,Undirected
user_311743,user_261857,1,Undirected
user_311743,user_428427,1,Undirected
user_46221,user_405033,1,Undirected
user_46221,user_178963,1,Undirected
user_213052,user_241196,1,Undirected
user_155503,user_252087,1,Undirected
user_405033,user_178963,1,Undirected
user_306859,user_152718,1,Undirected
user_306859,user_241805,1,Undirected
user_498784,user_33077,1,Undirected
user_498784,user_284231,1,Undirected
user_498784,user_273188,1,Undirected
user_391910,user_156650,1,Undirected
user_391910,user_467927,1,Undirected
user_375396,user_185330,1,Undirected
user_161410,user_186108,1,Undirected
user_161410,user_381903,1,Undirected
user_267850,user_257195,1,Undirected
user_145078,user_228233,1,Undirected
user_145078,user_424032,1,Undirected
user_145078,user_347921,1,Undirected
user_145078,user_203870,1,Undirected
user_474932,user_363154,1,Undirected
user_474932,user_401400,1,Undirected
user_474932,user_249155,1,Undirected
user_156650,user_467927,1,Undirected
user_135090,user_330678,1,Undirected
user_135090,user_309363,1,Undirected
user_228233,user_424032,1,Undirected
user_186108,user_381903,1,Undirected
user_64245,user_482703,1,Undirected
user_64245,user_160021,1,Undirected
user_152718,user_241805,1,Undirected
user_286311,user_92394,1,Undirected
user_443939,user_483781,1,Undirected
user_231125,user_114403,1,Undirected
user_231125,user_61941,1,Undirected
user_231125,user_388782,1,Undirected
user_231125,user_130007,1,Undirected
user_231125,user_143774,1,Undirected
user_231125,user_367241,1,Undirected
user_231125,user_211679,1,Undirected
user_231125,user_64316,1,Undirected
user_231125,user_20959,1,Undirected
user_33077,user_284231,1,Undirected
user_33077,user_273188,1,Undirected
user_330678,user_309363,1,Undirected
user_143978,user_181973,1,Undirected
user_184335,user_371137,1,Undirected
user_184335,user_358455,1,Undirected
user_463260,user_98437,1,Undirected
user_407873,user_255826,1,Undirected
user_373646,user_470720,1,Undirected
user_373646,user_96836,1,Undirected
user_140474,user_133011,1,Undirected
user_140474,user_3374,1,Undirected
user_140474,user_54250,1,Undirected
user_140474,user_463860,1,Undirected
user_140474,user_374234,1,Undirected
user_463606,user_325807,1,Undirected
user_463606,user_202550,1,Undirected
user_463606,user_320455,1,Undirected
user_299536,user_142629,1,Undirected
user_299536,user_42600,1,Undirected
user_140930,user_112890,1,Undirected
user_140930,user_369925,1,Undirected
user_140930,user_274452,1,Undirected
user_140930,user_447080,1,Undirected
user_112890,user_369925,1,Undirected
user_112890,user_274452,1,Undirected
user_98281,user_424534,1,Undirected
user_98281,user_61072,1,Undirected
user_314821,user_352419,1,Undirected
user_98437,user_73737,1,Undirected
user_428171,user_354536,1,Undirected
user_428171,user_431272,1,Undirected
user_34860,user_81111,1,Undirected
user_34860,user_244985,1,Undirected
user_34860,user_379532,1,Undirected
user_34860,user_104443,1,Undirected
user_261264,user_119768,1,Undirected
user_261264,user_19640,1,Undirected
user_196215,user_231767,1,Undirected
user_433334,user_404815,1,Undirected
user_325807,user_202550,1,Undirected
user_369925,user_274452,1,Undirected
user_337479,user_406810,1,Undirected
user_337479,user_103020,1,Undirected
user_337479,user_252597,1,Undirected
user_337479,user_45901,1,Undirected
user_424534,user_61072,1,Undirected
user_119768,user_19640,1,Undirected
user_119768,user_310055,1,Undirected
user_119768,user_218912,1,Undirected
user_119768,user_399278,1,Undirected
user_119768,user_411318,1,Undirected
user_133408,user_192981,1,Undirected
user_133408,user_183989,1,Undirected
user_133408,user_290947,1,Undirected
user_211378,user_446309,1,Undirected
user_20711,user_372873,1,Undirected
user_20711,user_488045,1,Undirected
user_192981,user_183989,1,Undirected
user_192981,user_290947,1,Undirected
user_192981,user_84403,1,Undirected
user_192981,user_449943,1,Undirected
user_192981,user_422995,1,Undirected
user_192981,user_285136,1,Undirected
user_192981,user_356116,1,Undirected
user_192981,user_280405,1,Undirected
user_15420,user_473901,1,Undirected
user_74992,user_479851,1,Undirected
user_74992,user_124081,1,Undirected
user_74992,user_467300,1,Undirected
user_74992,user_213626,1,Undirected
user_326227,user_90814,1,Undirected
user_326227,user_281750,1,Undirected
user_326227,user_229945,1,Undirected
user_467935,user_251260,1,Undirected
user_467935,user_110130,1,Undirected
user_182833,user_465564,1,Undirected
user_182833,user_169210,1,Undirected
user_465564,user_169210,1,Undirected
user_499604,user_84467,1,Undirected
user_208191,user_349562,1,Undirected
user_208191,user_43144,1,Undirected
user_90814,user_281750,1,Undirected
user_90814,user_229945,1,Undirected
user_281750,user_229945,1,Undirected
user_368919,user_126580,1,Undirected
user_368919,user_278230,1,Undirected
user_368919,user_68741,1,Undirected
user_368919,user_40462,1,Undirected
user_194697,user_426044,1,Undirected
user_194697,user_108024,1,Undirected
user_280049,user_43156,1,Undirected
user_426044,user_20375,1,Undirected
user_426044,user_362935,1,Undirected
user_426044,user_224626,1,Undirected
user_426044,user_246275,1,Undirected
user_426044,user_253218,1,Undirected
user_426044,user_335630,1,Undirected
user_426044,user_398001,1,Undirected
user_426044,user_435124,1,Undirected
user_183989,user_290947,1,Undirected
user_229945,user_40960,1,Undirected
user_229945,user_398759,1,Undirected
user_229945,user_5356,1,Undirected
user_229945,user_319604,1,Undirected
user_229945,user_362917,1,Undirected
user_229945,user_82774,1,Undirected
user_229945,user_311566,1,Undirected
user_473901,user_23279,1,Undirected
user_111907,user_69572,1,Undirected
user_111907,user_272030,1,Undirected
user_31184,user_259077,1,Undirected
user_31184,user_483564,1,Undirected
user_246860,user_276219,1,Undirected
user_133876,user_145354,1,Undirected
user_133876,user_253390,1,Undirected
user_160727,user_277904,1,Undirected
user_43656,user_383215,1,Undirected
user_43656,user_232981,1,Undirected
user_383215,user_232981,1,Undirected
user_333036,user_428170,1,Undirected
user_243354,user_280936,1,Undirected
user_369435,user_329274,1,Undirected
user_369435,user_94957,1,Undirected
user_369435,user_351619,1,Undirected
user_191321,user_66615,1,Undirected
user_191321,user_234704,1,Undirected
user_62096,user_134744,1,Undirected
user_66615,user_234704,1,Undirected
user_447537,user_247327,1,Undirected
user_131311,user_227368,1,Undirected
user_131311,user_99478,1,Undirected
user_131311,user_339122,1,Undirected
user_26141,user_271456,1,Undirected
user_26141,user_243390,1,Undirected
user_233015,user_368232,1,Undirected
user_468593,user_474314,1,Undirected
user_271456,user_243390,1,Undirected
user_95002,user_12134,1,Undirected
user_95002,user_316134,1,Undirected
user_95002,user_286672,1,Undirected
user_390196,user_439239,1,Undirected
user_390196,user_272884,1,Undirected
user_155041,user_263814,1,Undirected
user_155041,user_38137,1,Undirected
user_31380,user_120709,1,Undirected
user_75593,user_398308,1,Undirected
user_75593,user_279675,1,Undirected
user_162190,user_147424,1,Undirected
user_162190,user_196555,1,Undirected
user_162190,user_437040,1,Undirected
user_162190,user_161411,1,Undirected
user_162190,user_212369,1,Undirected
user_162190,user_37540,1,Undirected
user_162190,user_387643,1,Undirected
user_389347,user_370529,1,Undirected
user_90022,user_493464,1,Undirected
user_203514,user_111605,1,Undirected
user_203514,user_75630,1,Undirected
user_203514,user_493040,1,Undirected
user_111605,user_75630,1,Undirected
user_111605,user_493040,1,Undirected
user_328155,user_190425,1,Undirected
user_397790,user_215382,1,Undirected
user_397790,user_387416,1,Undirected
user_397790,user_335092,1,Undirected
user_397790,user_54178,1,Undirected
user_69658,user_332174,1,Undirected
user_316824,user_65347,1,Undirected
user_227080,user_99694,1,Undirected
user_227080,user_407623,1,Undirected
user_227080,user_148185,1,Undirected
user_177226,user_299652,1,Undirected
user_177226,user_337888,1,Undirected
user_177226,user_446527,1,Undirected
user_177226,user_123294,1,Undirected
user_75630,user_493040,1,Undirected
user_75630,user_249027,1,Undirected
user_481439,user_257228,1,Undirected
user_481439,user_243760,1,Undirected
user_481439,user_494198,1,Undirected
user_481439,user_52324,1,Undirected
user_481439,user_346806,1,Undirected
user_481439,user_208338,1,Undirected
user_481439,user_303866,1,Undirected
user_481439,user_296047,1,Undirected
user_481439,user_384551,1,Undirected
user_481439,user_272810,1,Undirected
user_299652,user_337888,1,Undirected
user_299652,user_446527,1,Undirected
user_299652,user_123294,1,Undirected
user_299652,user_204458,1,Undirected
user_299652,user_123769,1,Undirected
user_299652,user_79593,1,Undirected
user_299652,user_354996,1,Undirected
user_299652,user_103139,1,Undirected
user_299652,user_93711,1,Undirected
user_299652,user_11917,1,Undirected
user_134885,user_211494,1,Undirected
user_134885,user_363037,1,Undirected
user_337888,user_446527,1,Undirected
user_337888,user_123294,1,Undirected
user_94310,user_355556,1,Undirected
user_494540,user_266743,1,Undirected
user_494540,user_126699,1,Undirected
user_494540,user_13515,1,Undirected
user_374478,user_150179,1,Undirected
user_374478,user_317480,1,Undirected
user_252468,user_121716,1,Undirected
user_252468,user_384899,1,Undirected
user_252468,user_480289,1,Undirected
user_252468,user_390819,1,Undirected
user_349079,user_17270,1,Undirected
user_266743,user_126699,1,Undirected
user_266743,user_13515,1,Undirected
user_266743,user_210283,1,Undirected
user_266743,user_277646,1,Undirected
user_266743,user_456747,1,Undirected
user_266743,user_437391,1,Undirected
user_72069,user_22576,1,Undirected
user_72069,user_185452,1,Undirected
user_72069,user_200976,1,Undirected
user_72069,user_134115,1,Undirected
user_150179,user_317480,1,Undirected
user_221360,user_450518,1,Undirected
user_57627,user_88519,1,Undirected
user_57627,user_148688,1,Undirected
user_57627,user_148725,1,Undirected
user_455240,user_114683,1,Undirected
user_455240,user_217873,1,Undirected
user_455240,user_19240,1,Undirected
user_51217,user_162159,1,Undirected
user_51217,user_104649,1,Undirected
user_28333,user_312113,1,Undirected
user_28333,user_480346,1,Undirected
user_28333,user_76754,1,Undirected
user_69546,user_67949,1,Undirected
user_352976,user_55692,1,Undirected
user_352976,user_287833,1,Undirected
user_352976,user_233827,1,Undirected
user_88519,user_148688,1,Undirected
user_88519,user_148725,1,Undirected
user_34739,user_96031,1,Undirected
user_312113,user_480346,1,Undirected
user_312113,user_76754,1,Undirected
user_148688,user_148725,1,Undirected
user_69194,user_421203,1,Undirected
user_69194,user_58151,1,Undirected
user_316650,user_204779,1,Undirected
user_204779,user_322392,1,Undirected
user_86520,user_151653,1,Undirected
user_86520,user_91742,1,Undirected
user_151653,user_91742,1,Undirected
user_96031,user_69381,1,Undirected
user_96031,user_179806,1,Undirected
user_96031,user_118521,1,Undirected
user_96031,user_136238,1,Undirected
user_114683,user_217873,1,Undirected
user_114683,user_19240,1,Undirected
user_114683,user_78469,1,Undirected
user_114683,user_286303,1,Undirected
user_114683,user_200632,1,Undirected
user_217873,user_19240,1,Undirected
user_421203,user_58151,1,Undirected
user_162159,user_104649,1,Undirected
user_55692,user_287833,1,Undirected
user_55692,user_233827,1,Undirected
user_263975,user_269085,1,Undirected
user_381321,user_328258,1,Undirected
user_381321,user_360286,1,Undirected
user_71082,user_330475,1,Undirected
user_71082,user_438705,1,Undirected
user_71082,user_280598,1,Undirected
user_330475,user_438705,1,Undirected
user_330475,user_280598,1,Undirected
user_327353,user_356739,1,Undirected
user_202089,user_201347,1,Undirected
user_202089,user_379242,1,Undirected
user_202089,user_380245,1,Undirected
user_202089,user_315371,1,Undirected
user_202089,user_212898,1,Undirected
user_202089,user_36235,1,Undirected
user_199358,user_3338,1,Undirected
user_336018,user_490436,1,Undirected
user_336018,user_336002,1,Undirected
user_328258,user_360286,1,Undirected
user_139891,user_107869,1,Undirected
user_21247,user_489914,1,Undirected
user_21247,user_351430,1,Undirected
user_261482,user_365593,1,Undirected
user_247425,user_44966,1,Undirected
user_438705,user_280598,1,Undirected
user_262861,user_457652,1,Undirected
user_262861,user_78721,1,Undirected
user_262861,user_15468,1,Undirected
user_250906,user_21893,1,Undirected
user_250906,user_392066,1,Undirected
user_158388,user_145929,1,Undirected
user_158388,user_415587,1,Undirected
user_247816,user_433378,1,Undirected
user_457652,user_78721,1,Undirected
user_457652,user_15468,1,Undirected
user_242822,user_344567,1,Undirected
user_242822,user_44457,1,Undirected
user_242822,user_14661,1,Undirected
user_344567,user_44457,1,Undirected
user_344567,user_14661,1,Undirected
user_483670,user_40160,1,Undirected
user_483670,user_200854,1,Undirected
user_483670,user_403492,1,Undirected
user_483670,user_382954,1,Undirected
user_483670,user_17498,1,Undirected
user_483670,user_187939,1,Undirected
user_23572,user_294560,1,Undirected
user_23572,user_220903,1,Undirected
user_261419,user_322718,1,Undirected
user_329135,user_44976,1,Undirected
user_329135,user_17870,1,Undirected
user_329135,user_419685,1,Undirected
user_294560,user_220903,1,Undirected
user_218895,user_105735,1,Undirected
user_218895,user_476740,1,Undirected
user_78721,user_15468,1,Undirected
user_481109,user_191478,1,Undirected
user_481109,user_107177,1,Undirected
user_11454,user_387361,1,Undirected
user_44457,user_14661,1,Undirected
user_44976,user_17870,1,Undirected
user_44976,user_419685,1,Undirected
user_145929,user_415587,1,Undirected
user_154284,user_312558,1,Undirected
user_16163,user_87990,1,Undirected
user_211096,user_418299,1,Undirected
user_211096,user_412488,1,Undirected
user_277912,user_452642,1,Undirected
user_277912,user_197960,1,Undirected
user_277912,user_45644,1,Undirected
user_277912,user_348425,1,Undirected
user_498111,user_142714,1,Undirected
user_467676,user_420477,1,Undirected
user_360865,user_213154,1,Undirected
user_360865,user_11367,1,Undirected
user_360865,user_151749,1,Undirected
user_399830,user_487207,1,Undirected
user_29354,user_361416,1,Undirected
user_29354,user_185340,1,Undirected
user_29354,user_458424,1,Undirected
user_29354,user_434490,1,Undirected
user_29354,user_378673,1,Undirected
user_418299,user_412488,1,Undirected
user_499860,user_152893,1,Undirected
user_499860,user_78044,1,Undirected
user_499860,user_437812,1,Undirected
user_499860,user_206751,1,Undirected
user_222164,user_226472,1,Undirected
user_213154,user_11367,1,Undirected
user_213154,user_151749,1,Undirected
user_105492,user_348810,1,Undirected
user_105492,user_354098,1,Undirected
user_105492,user_249451,1,Undirected
user_105492,user_476309,1,Undirected
user_105492,user_442159,1,Undirected
user_105492,user_442911,1,Undirected
user_105492,user_14615,1,Undirected
user_11367,user_151749,1,Undirected
user_292652,user_235448,1,Undirected
user_292652,user_43670,1,Undirected
user_235448,user_43670,1,Undirected
user_452642,user_197960,1,Undirected
user_452642,user_45644,1,Undirected
user_452642,user_348425,1,Undirected
user_452642,user_324957,1,Undirected
user_348810,user_354098,1,Undirected
user_348810,user_249451,1,Undirected
user_348810,user_476309,1,Undirected
user_348810,user_442159,1,Undirected
user_348810,user_442911,1,Undirected
user_348810,user_14615,1,Undirected
user_197960,user_45644,1,Undirected
user_197960,user_348425,1,Undirected
user_45644,user_348425,1,Undirected
user_254034,user_492523,1,Undirected
user_254034,user_236638,1,Undirected
user_254034,user_357085,1,Undirected
user_254034,user_428891,1,Undirected
user_354098,user_249451,1,Undirected
user_354098,user_476309,1,Undirected
user_354098,user_442159,1,Undirected
user_354098,user_442911,1,Undirected
user_354098,user_14615,1,Undirected
user_249451,user_476309,1,Undirected
user_249451,user_442159,1,Undirected
user_249451,user_442911,1,Undirected
user_249451,user_14615,1,Undirected
user_291608,user_86246,1,Undirected
user_291608,user_45903,1,Undirected
user_187683,user_273038,1,Undirected
user_187683,user_62399,1,Undirected
user_187683,user_327559,1,Undirected
user_273038,user_62399,1,Undirected
user_273038,user_327559,1,Undirected
user_87321,user_401123,1,Undirected
user_29370,user_187517,1,Undirected
user_29370,user_250680,1,Undirected
user_29370,user_21097,1,Undirected
user_171210,user_322533,1,Undirected
user_264108,user_470635,1,Undirected
user_264108,user_232200,1,Undirected
user_264108,user_175752,1,Undirected
user_318758,user_40263,1,Undirected
user_414778,user_269782,1,Undirected
user_463900,user_263599,1,Undirected
user_463900,user_390069,1,Undirected
user_463900,user_13179,1,Undirected
user_463900,user_88449,1,Undirected
user_263599,user_390069,1,Undirected
user_263599,user_13179,1,Undirected
user_263599,user_88449,1,Undirected
user_387675,user_308161,1,Undirected
user_143363,user_22891,1,Undirected
user_142105,user_481611,1,Undirected
user_142105,user_356171,1,Undirected
user_142105,user_259333,1,Undirected
user_142105,user_382992,1,Undirected
user_142105,user_47179,1,Undirected
user_142105,user_268589,1,Undirected
user_62399,user_327559,1,Undirected
user_187517,user_250680,1,Undirected
user_187517,user_21097,1,Undirected
user_481611,user_356171,1,Undirected
user_481611,user_259333,1,Undirected
user_481611,user_382992,1,Undirected
user_481611,user_47179,1,Undirected
user_356171,user_259333,1,Undirected
user_356171,user_382992,1,Undirected
user_356171,user_47179,1,Undirected
user_40263,user_193321,1,Undirected
user_40263,user_349856,1,Undirected
user_40263,user_378580,1,Undirected
user_40263,user_344005,1,Undirected
user_40263,user_19120,1,Undirected
user_250680,user_21097,1,Undirected
user_390069,user_13179,1,Undirected
user_390069,user_88449,1,Undirected
user_259333,user_382992,1,Undirected
user_259333,user_47179,1,Undirected
user_366390,user_100256,1,Undirected
user_366390,user_420559,1,Undirected
user_437140,user_147271,1,Undirected
user_382992,user_47179,1,Undirected
user_382992,user_114050,1,Undirected
user_382992,user_444124,1,Undirected
user_420093,user_301994,1,Undirected
user_420093,user_496906,1,Undirected
user_420093,user_433692,1,Undirected
user_420093,user_364887,1,Undirected
user_420093,user_344405,1,Undirected
user_420093,user_421670,1,Undirected
user_420093,user_427834,1,Undirected
user_420093,user_219178,1,Undirected
user_420093,user_6981,1,Undirected
user_420093,user_480376,1,Undirected
user_420093,user_380840,1,Undirected
user_420093,user_41910,1,Undirected
user_474992,user_82163,1,Undirected
user_474992,user_347505,1,Undirected
user_474992,user_132317,1,Undirected
user_179543,user_88792,1,Undirected
user_179543,user_390524,1,Undirected
user_179543,user_68288,1,Undirected
user_179543,user_303715,1,Undirected
user_179543,user_90412,1,Undirected
user_179543,user_168599,1,Undirected
user_121456,user_77455,1,Undirected
user_280658,user_401237,1,Undirected
user_280658,user_200863,1,Undirected
user_245148,user_176911,1,Undirected
user_245148,user_54351,1,Undirected
user_245148,user_289897,1,Undirected
user_245148,user_440284,1,Undirected
user_245148,user_198806,1,Undirected
user_461182,user_364651,1,Undirected
user_461182,user_336363,1,Undirected
user_196736,user_267400,1,Undirected
user_196736,user_158192,1,Undirected
user_418693,user_269690,1,Undirected
user_418693,user_115541,1,Undirected
user_418693,user_363681,1,Undirected
user_440983,user_290219,1,Undirected
user_176911,user_54351,1,Undirected
user_176911,user_289897,1,Undirected
user_176911,user_440284,1,Undirected
user_176911,user_198806,1,Undirected
user_236017,user_63914,1,Undirected
user_236017,user_114964,1,Undirected
user_72876,user_17185,1,Undirected
user_72876,user_394757,1,Undirected
user_17185,user_394757,1,Undirected
user_269690,user_115541,1,Undirected
user_269690,user_363681,1,Undirected
user_364651,user_336363,1,Undirected
user_262498,user_450172,1,Undirected
user_262498,user_377869,1,Undirected
user_262498,user_204384,1,Undirected
user_450172,user_377869,1,Undirected
user_450172,user_204384,1,Undirected
user_450172,user_275850,1,Undirected
user_450172,user_231638,1,Undirected
user_450172,user_354535,1,Undirected
user_450172,user_237802,1,Undirected
user_88792,user_390524,1,Undirected
user_88792,user_68288,1,Undirected
user_88792,user_303715,1,Undirected
user_409131,user_481052,1,Undirected
user_409131,user_3832,1,Undirected
user_409131,user_175462,1,Undirected
user_359599,user_340102,1,Undirected
user_359599,user_203646,1,Undirected
user_359599,user_437286,1,Undirected
user_359599,user_7771,1,Undirected
user_359599,user_263971,1,Undirected
user_3472,user_420634,1,Undirected
user_3472,user_274788,1,Undirected
user_3472,user_272846,1,Undirected
user_458979,user_153965,1,Undirected
user_122980,user_467112,1,Undirected
user_122980,user_148926,1,Undirected
user_122980,user_269782,1,Undirected
user_122980,user_113475,1,Undirected
user_122980,user_105334,1,Undirected
user_122980,user_7297,1,Undirected
user_122980,user_140541,1,Undirected
user_122980,user_18244,1,Undirected
user_340102,user_203646,1,Undirected
user_340102,user_437286,1,Undirected
user_340102,user_7771,1,Undirected
user_340102,user_263971,1,Undirected
user_54351,user_289897,1,Undirected
user_54351,user_440284,1,Undirected
user_54351,user_198806,1,Undirected
user_267400,user_158192,1,Undirected
user_267400,user_312410,1,Undirected
user_267400,user_15154,1,Undirected
user_289897,user_440284,1,Undirected
user_289897,user_198806,1,Undirected
user_203646,user_437286,1,Undirected
user_203646,user_7771,1,Undirected
user_203646,user_263971,1,Undirected
user_203646,user_91991,1,Undirected
user_203646,user_408367,1,Undirected
user_203646,user_204810,1,Undirected
user_481052,user_3832,1,Undirected
user_481052,user_175462,1,Undirected
user_390524,user_68288,1,Undirected
user_390524,user_303715,1,Undirected
user_115541,user_363681,1,Undirected
user_401237,user_200863,1,Undirected
user_401237,user_216811,1,Undirected
user_440284,user_198806,1,Undirected
user_82163,user_347505,1,Undirected
user_82163,user_132317,1,Undirected
user_3832,user_175462,1,Undirected
user_63914,user_114964,1,Undirected
user_377869,user_204384,1,Undirected
user_114964,user_402692,1,Undirected
user_114964,user_499971,1,Undirected
user_114964,user_159041,1,Undirected
user_114964,user_112877,1,Undirected
user_114964,user_199332,1,Undirected
user_114964,user_338475,1,Undirected
user_114964,user_196228,1,Undirected
user_114964,user_256102,1,Undirected
user_114964,user_349058,1,Undirected
user_77455,user_20305,1,Undirected
user_77455,user_13301,1,Undirected
user_77455,user_410776,1,Undirected
user_39343,user_152984,1,Undirected
user_39343,user_342891,1,Undirected
user_39343,user_211985,1,Undirected
user_39343,user_365149,1,Undirected
user_152984,user_342891,1,Undirected
user_152984,user_211985,1,Undirected
user_152984,user_365149,1,Undirected
user_347542,user_425212,1,Undirected
user_347542,user_85632,1,Undirected
user_176742,user_38590,1,Undirected
user_176742,user_91432,1,Undirected
user_176742,user_431420,1,Undirected
user_15509,user_246930,1,Undirected
user_15509,user_439995,1,Undirected
user_15509,user_436217,1,Undirected
user_15509,user_6260,1,Undirected
user_175063,user_241817,1,Undirected
user_458199,user_328170,1,Undirected
user_246930,user_439995,1,Undirected
user_246930,user_436217,1,Undirected
user_246930,user_6260,1,Undirected
user_269701,user_442035,1,Undirected
user_269701,user_382260,1,Undirected
user_162676,user_429159,1,Undirected
user_162676,user_272472,1,Undirected
user_381493,user_440677,1,Undirected
user_439995,user_436217,1,Undirected
user_439995,user_6260,1,Undirected
user_429159,user_272472,1,Undirected
user_442035,user_382260,1,Undirected
user_229924,user_432626,1,Undirected
user_229924,user_163022,1,Undirected
user_229924,user_382869,1,Undirected
user_229924,user_425200,1,Undirected
user_285177,user_193690,1,Undirected
